value,vote,Counsillor Name,HOOD,id
.05,no,Vincent Crisanti,ETOBICOKE NORTH,1
.05,no,Rob Ford,ETOBICOKE NORTH,2
1.00,yes,Stephen Holyday,Etobicoke Center,3
1.00,yes,John Campbell,Etobicoke Center,4
1.00,yes,Justin J. Di Ciano,ETOBICOKE-LAKESHORE,5
.05,no,Mark Grimes,ETOBICOKE-LAKESHORE,6
.05,no,Giorgio Mammoliti,YORK WEST,7
.05,no,Anthony Perruzza,YORK WEST,8
1.00,yes,Maria Augimeri,YORK CENTRE,9
.05,no,James Pasternak,YORK CENTRE,10
1.00,yes,Frances Nunziata,YORK SOUTH-WESTON,11
.05,no,Frank Di Giorgio,YORK SOUTH-WESTON,12
1.00,yes,Sarah Doucette,PARKDALE-HIGH PARK,13
1.00,yes,Gord Perks,PARKDALE-HIGH PARK ,14
1.00,yes,Josh Colle,EGLINGTON-LAWRENCE ,15
1.00,yes,Christin Carmichael Greb,EGLINGTON-LAWRENCE,16
.05,no,Cesar Palacio,DAVENPORT,17
1.00,yes,Ana Bail‹o,DAVENPORT,18
1.00,yes,Mike Layton,TRINITY-SPADINA,19
1.00,yes,Joe Cressy,TRINITY-SPADINA,20
1.00,yes,Joe Mihevc,ST. PAUL'S,21
1.00,yes,Josh Matlow,ST. PAUL'S,22
1.00,yes,John Filion,WILLOWDALE,23
1.00,yes,David Shiner,WILLOWDALE,24
1.00,yes,Jaye Robinson,DON VALLEY WEST,25
1.00,yes,Jon Burnside ,DON VALLEY WEST,26
1.00,yes,Kristyn Wong-Tam,TORONTO CENTRE-ROSEDALE,27
1.00,yes,Pam McConnell,TORONTO CENTRE-ROSEDALE,28
1.00,yes,Mary Fragedakis,TORONTO-DANFORTH,29
1.00,yes,Paula Fletcher,TORONTO-DANFORTH ,30
1.00,yes,Janet Davis,BEACHES-EAST YORK ,31
1.00,yes,Mary-Margaret McMahon,BEACHES-EAST YORK ,32
1.00,yes,Shelley Carrol,DON VALLEY EAST,33
2,none,Denzil Minnan-Wong,DON VALLEY EAST,34
.05,no,Michelle Berardinetti,SCARBOROUGH SOUTHWEST,35
1.00,yes,Gary Crawford,SCARBOROUGH SOUTHWEST,36
1.00,yes,Michael Thompson ,SCARBOROUGH CENTRE,37
.05,no,Glenn De Baeremaeker,SCARBOROUGH CENTRE,38
.05,no,Jim Karygiannis,SCARBOROUGH-AGINCOURT,39
1.00,yes,Norman Kelly,SCARBOROUGH-AGINCOURT,40
1.00,yes,Chin Lee,SCARBOROUGH-ROUGE RIVER ,41
.05,no,Raymond Cho,SCARBOROUGH-ROUGE RIVER,42
1.00,yes,Paul Ainslie,SCARBOROUGH EAST,43
1.00,yes,Ron Moeser,SCARBOROUGH EAST,44
